entry_word,synonyms
arpunues,shih argjendar
shih,"qortoj, arsehem shih arsimohem, shih"
"edukohem,",shih stërvitem Dr
"arsej,",shih dëboj: shih përfundoj
arsenik,rrezigall (krahin )
arsim,"shkollë, mësim, bis gramë, vjet shkresë,"
arsimdashës,kulturëdashës N De
arsimim,"shkollim, kulturim fe: ndriçim"
arsimoj,"mësoj, arsej, shkolloj, studioj,"
"kulturoj,","fig ndriçoj, lartësoj: arsimohem"
"mësoj,","arsehem, shkollohem, studioj:"
kulturohem,:  jë
arsimor,"shkollor, vjet shkollar ste"
arsimuar,"(i, e) shkolluar (i), studiuar: 6)"
kulturuar,"(i), mësuar (i), ditur (1), bis lexuar"
"(i),","kënduar Q), vjet bis ëse O Pe-b bis"
lëruar,"(1), bis shkollar darë i"
(3,"figi vend: motiv, përse, pse, ,, punë, rast,"
"shkak,","ngajë, fakt, faktor: argument, provë:"
Shih,konsideratë n 5
arsyeshëm,"Gi arsyetuëshëm, Jogjik,"
logjikshëm,"(1), gjykueshëm (1): imbështetshëm"
"(1),","shëndetshëm (i), argumentueshëm (1)"
motivueshëm,"0), racional: shik matur D"
Shih,përligji ur'(1): shih: pranueshëm GO
arsyetim,"arsyetuar (të), logjikë, argumentim,"
"gjykim,","menduar (të), motivim: SH"
përligjje,e
arsyetoj,"gjykoj, mendoj, drgumërtoj,"
"Motivoj,",shpjegoj: shif kuptoj: shih përligj:
arsyetohem,shik shpjëgohem
alsyetuar,"(i, e) gjykuar (1), menduar (i):"
argumërtuar,"(1), shpjeguar Që mbështetur"
"(0),",motivuar (1)
arsyetuarit,(të) shih ar syëtim
arsyetues,rnmiotivues: shih përligj gjë S
arsyetueshëm,(i) shih arsyeshëm o shih 1
përligjshëm,(1)
art,mjeshtëri T
artë,"(i,e) florinjtë G,: afosur' FO praruar 6),"
(prej),"an, (prej) floriri"
arti,shih rrobull
artificial,sintetik: shih vënë: G shih shtirë: E)
artikull,"shkrim: shik Z: shih nen, E mall"
artilerist,shih artiljer Lek L
artiljer,"topçi, artilerist"
artis,"ndërroj, shpërngul, mbëltoj përandis"
(një,birië Ja
artisje,"ndërrim, mbëltim, spërmgulje i ë gë bime ) t"
artist,mjeshtër: shik trim
artitore,"shih shpëm gblore,:"
artizan,shih: zejtar :
artizanal,shih prapambetur 0
arizanat,shih zejtari
artrit,shih përdhes  Ka sa Pe 7 gra BRE
arturinë,shih zbukurim A
arumanisht(e),shik vllahisht(e)
arumun,shih vllah in
arushan,shih: truplidhiir: shih trim
arushë,fig shik palodhur (i):
arrakaçe,krahin shih lekaçe
arvanit,vjet shih shqiptar
artakas,shih shpërndaj: arrakatem shih
bredh:,shih shpërndahem: -
arrakat,"shih çrregullt (1), shpërndarë O"
arrakatje,shih shpërndarje  sa
arratisje,"shih: shpërndarje: bis ikje, zhdukje a"
arrati,shih AITAtISjJe:: ed
arratis,shih dëboj: shih shpërndaj: arratisem
-Marr,"arratinë, largohem, iki, zhdukëm,'ia 1"
shih,ta
"mbath,",da mbath këmbëve:
Shpërndahem:,shih bredh
arratisje,"arrati, ikje, shpëtim, zhdukje, I"
-porropi,"(bis), shushavë, përndarjë, mërgim"
arratisur,"(i,e) tretur (1), ikur (1), Fig zhdukur"
"(1),",vjet kaçakishih shpërndarë (i) :::
Shih,dosëz
arrç,"pjerëz, Shutëpelë, qelbinës shk E"
arrirë,shih pjekur (1) shih goditur Me
arrishtë,"arrëz, arrnjet"
arritje,"shih ardhje: shih vaj tjes rezultatin mirë,"
arrestim,shih arrest
arrestoj,"ndaloj, lidh, mai, paraburëos, bis,"
"kllapos,","(i) shtie (hedh, vë) prangat (hekurat),"
"prangos,",vë (hedh) në hekura (pranga)
arrestuar,"G, ë) ndaluar (1), Paraburgosit 0 :"
AFFS,bar'' dhëmballe
"Arrëz,","shih fikth, ShA rruaz: zshih zverk, shih"
"arrëz,",shih arrishtë: ita tye
arrij,"mbërrij, vij, vete, bis s6s, sosëm: e vjer"
shkalis:,"shoh, jetoj: shih shkel: zë, kaps shih"
"shënoj,",vendos: vl shik shkoj: vi LI shih
mi,jafton: arrihet shih piqët: shik Mbledh
"realizim,",sukses: 5
arritshëm,Gj) mbërritshëm Kë shih mundshëm
0),shih pp Qe
arrivist,shih karricëisë da
arrivizëm,shih karrierizëm at e
arrnjet,shih arrishtë
arrogancë,shih mendjemadhësi
arrogant,shih mendjeeadh: 8
asamble,shih: Kuvendi Ja SK at J
as,njësh T yte Syri
asajarie,shih andej E AR
ashbest,shih ainianës
ase,shih ose
asëll,bis: Shih tamam: i hje ti
asfalt,"serë, bitum, zift, katran: shih hrrogë:"
asfaltim,shih shtrim:
asfargjë,shih ASBjë i ei rën
asgjetiu,shih asgjëkund: a Da E 2
asgjë,"asfargjë, kurrgjë, asgjëkafshë,"
"asgjësend,","asgjësendi, fargjë, hiç, askurrgjë,"
"afarëgjë,","sfarësendi: hiçasgjë,: hiçgjë,"
"hiçgjëkafshë,","hiçgjësend, hiçgjësendi, ZTO:"
DIS,"hiçmosgjë, moësgjë: gJ, gjëkafshë,"
"gjësend,",as një morkqorr:
asgjëkundi),"askund: asgjetiu: vrkjekundi,"
"kurrkund,","askurrkund: bës hiç gj jëkund: ,"
asgjëmangut,shih megjithatë
asgjësend(i),shilrasgjë
"asgjësi,",shih hiç: shik zbrazëti
asgjësim,"shkatërrim, shfarosje, zhdukje,"
"vdekje,","shuarje, shkulje, përpirje"
asgjësoj,"shkatërroj, faroj, Stërfar, shtyp, zhbij:"
"shfaros,","zhduk, (ia) hedh leckat në erë, (1)"
jap,"fund, shuaj, mbys, përlaj, përpij, (e) bëj"
prë:,"asgjësohet shih:zhdukët, shuhet"
asgjësuar,"(i, ) shfarosur (1): Zhdukur 6):"
shkatërruar,"(1), shuar Q: grrënjosuë (s"
përpirë,1
asgjësues,"shkatëtetës, shkatërrimtar:"
"shfarosës,","vdekjeprurës, vdekjësjellës"
asgjëshëm,6) shik parëndësishëm De
asi,vjet shih tillë 6) pj
"asilloj,",bisshih tillë: G)
"asilloj,",bis shik ashtu TO Theni
asi,) shihipërvetësim: shih përngjashmim
asimiloj,"shih përvetësoj, shih përngjashmoj:"
asimiluës,shih përvetësues: shih përngj jashmues
asimilueshëm,(i) shik: përveëseshëri GQ
"asisoj,",bis shih tillë 1): SET
"asisoj,",bis shih ashtu
asistericë,shih ndihmë
asistënt,shih ndihmës:
askath,shih byc:
asket,ashkëti
aski,shih tirandë DJ
askund(i),shih asgj jëkundë)
askurrgjë,shih: asgjë
askurrkah,krahin shih zgjim
askurrë,shih kurtë: 0
askurrkund,shih asgj fëkundti)
askurrkush,shilaskush' kë
askush,"askurrkush, asnjeri, kurrkush, 5"
"moskush,","mosnjëri, as: rob as KOT kush,"
bis,xhanxhin i
asllan,vjet shihluan
asndonjë,shih asnjë
ashdonjëterës,shi kurrë
"tral,",objekti E të sy
"asnjanësi,","paanësi,"
"asnjanshmëti,","neutralitet, objektivitet"
asnjanësim,neutralizim: 0 sen
asnjanësoj,nëutralizoj: ss Du
asnjanësues,neviralizhes: Pa
asnjanshëm,(i) shiuasnjanës on
ashef,krahin shik khides'
"ashër,",shih ashkël: shih: petavëri
si,"J ashër, shih QAlë ce i ta TR"
-J,"ashik, testembel, kockë: mëzith, shih ky të"
"ashik,",vjet shih dashur G): shih jt
ashikëri,vjet: shih dashuri
paanshmëri,U
asnjeri,shih askush: - të
asnjë,"ashdonjë, kurrfarë, farë: -"
asnjëherë,"shih kurrë, 0"
asnjëri,asndonjëri
aso,vjet Shik fllë (e)
asobote,krahin shih: atëherë Dë
asociacion,"shilr shoqërime pr tëre,"
asohërshëm,(i) shih atëhershëm Q
asokohe,shih atëherë 1
asokohshëm,(i) shih atëhershëm G
aspak,"fare, kurrsesi, Kurfqysh, hiç, sësesi,"
"farë,","gjëkundi, bis asfare, Çnë, asnjë g grimë,"
asnjë,"çikë (fijë, thërrime, qime), për kiamet"
aspekt,shih pamje: shih anë E
aspiratë," shih dëshirë, shih qëllim"
aspiroj,shih dëshitojs shihsynoj E va
asqer,"vjët shihiushtar, shih ushtri: ae"
assësi,shih aspak : '
astmatik,"shpirraq: frymëzenë, gjër tëkilefës:"
astmë,"shpirtë, shparrë, gulç, sem gulçimë,"
"frymëz,","vjet nefes, teknefes kdgritt"
astragaç,"qehën, qër, palarë, gjer"
astrit,biskar (krahin E Shih tim mek
astronaut,shili kozmonaut SET Pet
astronomik,shih pallogaritshëri G)- area
ashe,"brigjër, gjemb ujku, peronjë, larie tëgër G"
"zi),","larth, urth:, Jisi egër"
këmbës),e Na
ashiqare,bis shih haptas
ashk'shih,afsh Ka skele H
ashkë,shih ashkël: Krah shih hqepall GE
"ashkël'ashkë,","albër: -ashër: lashkë, bujashkë,"
"Shushull,",":cokël: cifël, spicë, bjezgë, cefël,"
"cikël,","citë, cikërr, çikël, copët, plaçkë,"
"çikërr,","çikë, cimbël, nishk: pykël thepël:"
"gdhëndël,","grapcë, Zdrugulina: E PE"
"copëtohet,","cokëlohet, spicosët: esë Paiz"
vi,jë
ndjeshme,në lëmin e leksikografisë shqiptare dhe kjo ndoshta nuk është rastësi Ai
është,"një ndërmarrje sa e domosdoshme, aq edhe e vështirë Vjeljet e pasurisë së"
madhe,"të dy kryedialekteve të shqipes, të veprave të shkruara gjatë shekujve 1 në to"
dhe,"g gjuhës s së sotme të folur për një pjesë të madhe të tyre, ende nukj janë kryer a nuk"
janë,bërë ende të njohura Në këto rrethana caqet e njohjes së gjuhës sonë janë të
kufizuara,"Gjithsesi, pas një periudhe tridhj etëvj eçare që nga Kongresi i 1 Drej tshkrimit"
të,"Gjuhës Shqipe (1972), një fjalor'i 1 tillë është bërë kërkesë  ngutshme E kohës Ai"
është,"i domosdoshëm për të gjithë ata që mërren me, fjalën shqipe, qofshin nxënës,"
"studentë,","shkrimtarë, përkthyes, gazetarë a veprimtarë të fushave të ndryshme"
"shoqërore,",ose të huaj që njohin gjuhën shqipe Ai është i 1 domosdoshëm për' të gjithë
shkruesit,"dhe folësit e gjuhës sonë, të cilët mundohen të përdorin në çdo rast fjalën e"
drejtë,"e të përpiktë, fjalën që ka forcën e duhur shprehëse dhe ngarkesën e Synuar"
"stilistike,","të: ë dalluar s sa më qartë nga da alët, e Qera kupëmishti të E ngjashme, ( Ai është i 1"
gjuhës,"b bisedore a vule gare, që duan t i japin n ligjërimit të tyre n ngjyrime  e ngjyresa të"
caktuara,"stilistike, krahinore a kohore, atyre Që nuk duan të bëhen të mërzitshëm për"
lexuesit,a dëgjuesit duke përdorur gjithmonë 1 të njëjtat fjalë Për të gjitha këto ATSYE
në,"morëm guximin ' t' i hynim hartimit të kësaj, vepre, me, dëshirën e, mirë përi të vënë"
gurin,"e parë në ngrehinën e ardhshme, të studimit të gjuhës sonë: edhe në këtë lëmë, Pa i"
Dihet,"se një fjalor i i tillë synon të japë në mënyrë të plotë, fatkeqësisht pe pa arritur ë"
kurrë,"në mënyrë shteruese, listën E sinonimeve për çdo fjalë të gjuhësi: e: mundësisht"
edhe,"të sa më shumë, ë shprehjeve që janës sinonimë a t barasvlershme n metë N les"
rrafshet,"e ligjërimit, veçanërisht s: SA: u vi përket fjalëve, c ose: mike ka, Jose: ejanë ë tejet të të"
pakta,Nga ky këndvështrim nuk mund të flitet gjithmonë  për fjalë kuptimisht : të
"barabarta,",",por më shpesh për tjalë: kuptimisht të ngjashme a me ngjashmëri të pjesshme"
Këto,"fjalë, pra, duhen vështruar si të tilla që lejojnë ndërkëmbimin-midis tyre vetëm"
vë,EP Së -
ashkëti,shihasket I
ashkla-ashkla,shih copa-copa
ashpër,"ashpërsisht, ashpërisht, rreptësisht,"
"rreptë,","vrazhdë, me të vrazhdë, me: ashpërsi,"
me,"rreptësi, me të ëgër, pa mëshirë,"
"egërsisht,","vrazhdësisht, rrefkët, thartë,"
"panjerëzisht,","thershëm, keq, rëndë, hidhur,"
"acar,","bis Keq haldutçë, harbutërisht: shih"
ashpër,"G, TJ) krështë G), 8 sërhalë I: grathët"
"(,","ngrathët G), palëmuar: (1), thepisur (i),"
mërdostë,"(1), gërvishtës, carangthtë: GQ): shih"
trashë,"(1): Shi papërpunuar (1: thyer 6),"
epis,"Gi) shih përgjakshëm D: Këtë 6),"
shtrënguar,"dj fe mundimshëm G), vështirë"
"(1),","rëndë (i), athët: (1)j idhnak, rrefkët (1),"
hidhur,"(1), prapë Gj, brushmë (1): keq: brutal,"
"harbut,","bis 'Xhibër, shih mbytëss shih"
kokrrizor:,shik fortë G: Shih madh G)
ashpërak',qimeashpër: leshashpër
ashpëri,shih ashpërsi Shihe acar
ashpërim,shih: ashpërsim
ashpërisht,shih: ashpër '
ashpërohem,shih sshpërsohent
ashpëroj,"shih ashpërsoj: shi thaj, shkrep"
ashpërsi,"ashpëri, rreptësi, vrazhdësi, bis"
"tërsëllëm,"," keg harbutëri, sa Fig 18 acar:"
"acari,","acarimë 5: te M,"
ashpërsim,"ashpërim, çplasje, plasaritje,"
"acarim,","J ig tendosje: acarim, e Keshpërim"
egërsim:,shih keqësim: JE
ashpërsisht,shih ashpër T pë
ashpërsoj,"ashpëroj,: vrazhdoj, plas, plasaris,"
acaroj:,"fig tendos, acaroj, keqësoj,"
"kreshpëroj,","egërsoj, thartoj: tharbëtoj: shih"
keqësoj:,"ashpërsohem ashpërohem,"
"tëndosem,","acarohem,i zemërohem,"
"egërsohem,","kreshpërohem, krështohem:"
"mështekohëm,","rrefkëtohem, thartohem,"
bëhem,"xhibër: shih keqësohem: V UT plas,"
"plasaritet,","ashpërohet, acarohet : Pa"
ashpërsuar,"(i,e) ashpër 1, sahpëruar (1),"
plasur,"(i), plasaritur (i), acaruar (1) (dhe fig p"
fi,"IG: 'tenidosur (i), zemëruar (1) egërsuar (1),"
kreshpëruar,"(i), kreshtuar (1): thartuar 0"
ashpëruar,"(i, e) shih ashpërsuar: ( si 0"
ashtikrahini:,shih: kockë: shih kopsë E
ashtë,shik: ahishtë 359 va Vigut Sisi PA
"atë,",të'(në rasën kallëzore)
atëbotë,shih atëhete:: via ht
atëçastshëm,(i) shih menjëhershëm TD
atëgjysh,shikigjysh: - dh
atëherë,"në atë kohë, atëkohë: sisokohes"
atëhershëm,"(i) dikurshëm (i), atëkohshëri G)"
ashtërim,shih eshtëriim: shih skelet:
ashtërohetishih,eshtërohet: shihti gartësohet
ashtu,"kështu, asisoj: asilloj, në atë mënyrë,"
bis,"qashtu, krahin njashtu: pos: SA"
"urdhëron,","dakord, në rregull, çka, ashtu"
"ashtu,","ashtu-kështu, disis njëfarësoj: kot,"
kotsë,koti: shih afërmendsh: Shih afërsisht
shih,atëherë: i
ashtu-ashtu,"shih ashtu, KA Lë"
ashtuquajtur,"(i, ): vetëquajtur Go"
atishih,kalë
atashoj,shih caktoj: pë TET
atdhë,"vendlindje, mëmëdhe, Fe shtëpis vatër,"
"dhe,","truall, tokë: poet atme, Je '8- prag, bis"
"vatan,",vend Pri s
atdhedashës,"shih atdhetare, Ph"
atdhedashje,shih atdhetari: :
atdhedashuri,shih atdhetari:
atdhemohues:,paatdhe Su vjet adlieshitës:
shih,tradhtar 4 edi Pg
atdhesishih,"atdhëtëris ci vë s së,"
atdhesor,shih atdhetër: PS T i rat
atdheshitës,vjet shih: atdhëinohiës navi PR
atdhetar,"atdhedashës, mëmëdhetar, patriot:"
nacionalist:,"atdhesor, atdhedashës: patriotik:"
"atdhetarizëm,",patriotizëm: mëcionalizëmi
atdhëtarisht,patriotikishti' tëë Cat
atdhetarizëm,shih: atdhetari AT tës
ateist,"kundërfetar, afëtar, ipfësë"
ateizëm,"afetari rafetarizëm, vjet pahesirhjts"
atelie,"shih studio: shih punishte: shih rëpar,"
"atë,","baba,-tatë, alë, babëlok, babëlosh: etët,"
baballarë:,-paris parë (8: shih themeluës:
-Shth,vjehërr: shikxhas shih pt shih: zot
"asohere,","atëbotë, krahin asobotë: kështu:"
"ashtu,","pra, domethënë: ridërkaq ndërkohë,"
bis,demek: shih rrjedhimisht' :
Asohershëni,"(i), sdkons tt ndë këtë"
njëkohshëm,QE keq Rai
atëlosh,shih gjysh
atëri,shih atësi E 8
atësi,atëri: i SNAT R yt SERA
atje,"aty, tej, tutje, latë, tejmatanë, krahin njaty:"
atkinë,shih pelë Kshalëj As shik zonja (0)
atlas:,ATTZ
atletikë,atletizëm
atletizëm,shih atletikë
atme,poet shihatdhe
atmosferë,oqean ajror: fi ig shih mjedis: shih
atom,"thërrime, thërrnijë"
atomik,bërthamor
atraksiori,shih tërheqje: vjet shih dokumentar
atribut,shih tipar
aty,shihatjejaty aty
aty-aty,shih menjëherë
aty-këtu,"vende-vende, diku-diku, tëk: tuk,"
shih,herë herë
"Mitje-tëhu,","rrallë ëtrallë, visë-vise, gjollë-"
gjolle:,shih herë-herë
atypari,"shih afër, shih qëparë, shih afërisht"
atypëraty,"shpëjt, në çast, në vend, i"
fët,"e fët, sakaq, flakë për flakë"
atypëratyshëm,G) shih menjëhershëm GJ
ath,shik mpij: athem shik mpihem se
"athësi,",athëti shih thartësi
athët,(të) shih thartësi
athët,"(i,e) athëtor, thartul, majhosh, t thartor,"
"thartanik,","thartosh, uthullaç, tharbët (1),"
brushmë,"(i), pikët (1): shih ftohtë (1): shih"
pakëndshëm,(1) shih ashpër (1)
athët,shik thartë - ta
athëtimt(ë),"shih thartim, shih thartësis shih"
acar,-
athëtirë,shih thartirë: shih thartësi
athëtoj,shik mpij: shih thartoj: athëtohem
shik,"thartohem: shik mpihem: shih prekem,"
athëtor,shih athët G) -
athëtuar,"(i, e) shih thartuar 6) Ps shih prekur"
"(0),",zemëruar (1)
athje,"athjez, Ferrënusë, kolmuth"
athjez,shih athje
athtësi,shih thartësi
athtësim,shih thartim:
athtësoj,shih thartoj: afhtësohem shih
athtësuar,"(i, e) shih Frartuar dip: shih"
zemëruar,(i)
aullimë,"shih angullimë: shih ulërimë, shih"
aullin,shih angullin
aureolë,shih brerore:
avdall,keq shih ngathët 6)
As,I aventurë shih peripeci
aurorë,shih agjm e
autentik,shih vërtetë (1 shih korigjimi shi i
njëjtë,(Q)-  bësh
autobot,shih zufocistërnë:
autocisternë,autobët:
autokraci,shih absolutizëm:
autokrat,shih diktator:
autokratik,shih absolut -
autokritik,"vetëkritik, vetëqortues aa"
autokritikë,ii ngë vetgOrim së kg
autokton,shih vendës pd di
automat,shih robot:
automatik,i vetvetishëm:
automatikisht,vetvëtiu
automatizëm,shih' refleks
automatizim,shih mekanizim
automatizoj,shih mekanizoj :
automjet,"autoriobil ( vjet), makinë"
automobil,vjet shih automjet
automobilist,shih shofër::
autonom,shih: mëvetësishëm Ps
autonomi,shih mëvëtësi:
autopark,park makinash:: Ka QER errët
autor,"hartues, shkraes, përilus, Krijues:"
autoritarishih,prerë: rë shih plishtetshëm: G)
autoritet,personalitet: kompetencë: he
"peshë,","kredi, prestigj, ndikim, rëndësi: :"
autoritetshëm,(i) shih besueshëm Gj me
"autoritet,","me personalitet, me: peshë"
autorizoj,ngarkoj: shih: lej Ojpi ë në sshëtt
autorizuar,(e) ngarkuar Ga
avancë,"shih paradhënie: shih epërsi,"
avancim,shik përparim ss
JI,avancoj shih përparoj 5 se Faqe
avantazh,"shih përparësi, epërsi: shih h dobi"
avari,"shih dëmtim, Pashes cen :"
avari,vjet shih bashkë
avash,bis shih ngadalë pë
avash-avash,bis shih dalëngadalë
avashëm,"(i) bis, shih ngadalshëm De E"
avashllëk,bis shih ngadalësi:shih plogështi Në
avashtë,"(i, e) bis shih ngadalshëm (1):"
se,Të -
Si,"e ,"
JI,gë E
avaz,bis shih këngë: shih kokëçarje: Shih es :
shih,metë (e): S 2
shih,trashë ( 5:
shih,trupmadh 5
avdallçe,keq shih trashë E
avdeshanë,vjet shih lavaman: KI nexoji tore:
PRONE,ty pë ME PR
Geta,pa S Fi R
KS,B La darë ë
aventurier,vagabond
avermë,"krahin shih rrip, shih lidhëse"
av,'ermoj krahin shih lidh
"avër,",shih akullishtë
"avër,",shih zagushi
aviator,pilot
avion,shih aeroplan
avisbis,"shih afroj, avitërmi bis shih afrohesh"
avitje,bis shih afrim
avitshëm,"bis shih dashur, (1)"
avitur,"(i, e) bis shih afruar 0)"
avlëmend,shih tezgjah
avlli,shikmur (rrethues): shih Oborr
avrapë,krahin shih hishan:
avrom,"krahin shik kuturu, hamendas"
avull,shik afsh: shih djersë
avulloj,shik djersis: shih përvëlohem (nga
ethet):,shih ngrohem: avullohet shih
avullorë,shih ani je
avullt,"(i, e) shih mjegullt GJ"
avulluar,"(i, e) shih djersitur G shih nje 0)"
azh,urnuar Je e)
axhami,bis Ai g shih kalamaj shih papjekur
(1):,shih parritur (1)
axhamillëk,bis shih papjekuri
axhëlë,bis shih ngut
axhë,shih xhaxha
azat,bis shih çlirët (1)
azdis,"shih harlis, shih harboj, azdisem shih"
harlisem:,shih harboj
azdisje,"shik harbim, shthurje"
azdisur,"(i,e) shih harbuar (i), shthurur (i)"
azgan,shih shtatlartë: shih trim: shih shkathët
azot,nitrogjën
azotik,nitrik
azhur,urjezë
azhurhim,"shih përditësim, plotësim: shih"
shtyrje,oë
azhurnoj,shih përditësoj: shih: shtyj: shik
"plotësoj,",shih njohi azhurnohet shih
Shtyhet,7
azhurnuar,"(i, e) shih përditësuar 6), plotësuar"
(1):,shih shtyrë G)
aqë,e
Pat,4 VI e
baba,"shilr atë: shih themeluës: Shih vjehërr,"
shih,"xha, shih parët (të)"
babagjysh,shih gjysh
"baballëk,",bis shik babaxhan
"baballëk,","shtyllë, këmbëz, këmbje, cungal, I"
"amë,","cupil, krahin prift, vjet dajan"
babamadh,shih gjysh
babanace,njanjë (i krahin )
babanik,"shih veshgomat e,"
babaplak,shih gjysh E E
babaraqe,"krahin shih acar, shih tmerr Në"
babaxhan,"shpirtmirë, zemërmirë, patëkeq (1),"
shtruar,"(i), padjallëzuar (1), baballëk,"
"babëlok,","babëlosh, tatëlosh, leshtë (i),"
sinqertë,"(1), thjeshtë (1), çiltër (1): shih"
fuqishëm,"(i), shëndetshëm (1): shih trim, zoti"
babazot,shih gjysh
babë,"shih atë, shih xhaxha"
babëlok,"shih atë, shih gjysh: shik mik, shih"
babaxhan:,shih fuqishëm (1)
pabëlosh,"shih atë, shih gjysh, shih mik, shih"
babaxhan:,shih  uqishëm (1)
babëzi,"grykësi, pangopësi, lakmi, gopësi,"
"Jlupësi,","makutëri, ladutëri, fakutëri, shtitë,"
"pakorë,","zi, bis tamah, llof, tamahqarllëk,"
"neps,","llupë: shih fatkeqësi: shih varfëri,"
babëziar,shih babëzitur (i)
babëzisht,"pangopësisht,"
"grykësisht,","gapërr, me babëzi (makutëri)"
babëzitem,shili zijosem
babëzitur,"(i, e) hamës, hamëtor, grykës,"
pangopur,"(1), pangopshëm (1), pangishëm"
"(1),","panginjur (1), makut, grykësor, babëziar, J"
"sylugat,","zijosur (i), urëtuar (1), lakmitar,"
SO," parkmadh, pe zikeq, fig vampir, bis"
"ladut,","lakut, barkpangopur, 'esikshpuar"
"barkpanginjur,","barklubi,: barkthes, ,"
"barkvozë,barkkatua,","barkshpellë, zorrëshpuar,"
"gopÇ,","KOPÇAT, nepsqar, barkstihi,"
"gushëshpuar,","lubi, lopëlarë, 'Hlokmëmadh,"
"tamahqar,",krahin llabiç
babi,"babush, bacë: shih vjehërr,"
babil,shih gargull
babiloni,"shih rrëmujë, katrahurë,"
babo,"shih MM ami ht, E gë derdhë"
babune,shih karroqe 0
babush,shih babi: shih gjysh: shih mik
bacarak,shih pispili i
bacë,"shih babi, çeço: shih xhaxha, krahin"
shih,vëlla (i madh)
bacil,shih mikrob
bacilmbajtës,shih mikrobmbajtës Dë
"backë,",shih shuplakë
baç,shih ushkur   cë
baçkallos,"shih prish, shkatërroj"
badër,"shih shpatore: bathore, Dathër, presh ti"
egër),e
badihava,bis shih falas: shih kot EST
bafër,shih qelbës
baft,bis shih fat
bagëm,"shih poganik: shih vaj,"
bis,"mish, Fe Shih trashë MD"
bahçe,bis shih kopsht: vjet shik tolishte
bahçevan,bis shih KE
bahe,"shih hobe,"
bahetar,"shih hobëtar pë pët, kase Te di"
bajagi,"bis shih DER,"
bajame,"shih Brykë, E gë Ni e"
bajat,"bis ndenjur (1), ndiçëm (1), hupët (1),"
mëllënkshur,"(i), motuar (1), bujtur (1),"
përbujtë,"(1), përbujtur (1), plakarec (perime),"
krahin,cangër: shih bë kr De ig shil
mërzitshëm,"(1), pakripë (i)"
Dajatet,"mëllënkshet, Tet"
bajgush,shih brumbull
bajloz,shih përbindësh
bajgë,keq shar: shih poshtër (i) ps
bajmak,shih shtrembër Gy: shih këmbështrribër
bajmakthi,shih shtrembër: shik pjerrtas
bajonetë,"syngji (vjet), vjet kacaturrë:"
bajrak,vjet shih flamur: shih pashëm G)
bajraktar,vjet shih flamurtar: vjet kapedani
Shih,"feudal, shih krushkaparë ,"
bajun,shih lopës ph
bajzë,babushë  E
bakalaro,fig bis shih thatanik
bakeq,krahin shih keqbërës
bakër,"rem, bis kaltërinë urtë"
bakërim,bakërizim 4 5
bakërizim,"shih bakërim  e pët,"
bakërpunues,"remtar, bakërxhi: kazënpunvës:"
bakërt,"(i, e) remtë (1): shih: kuqërremtë Q"
bakërxhi,shih bakërpunues: Pr tue T
bakllama,vjet shih teze si nd sti
bakllava,"samsa, mysli: PSE"
bakraç,shih kusi:' Kp val AG Met
bakter,shih mikrob veri ti H
baktermbajtës,shih mikrodrbajës
baktermbytës,shih mikrobmbytës
bakthi,krahin shih pupthi: '
bakull,"bis shih bëshëm d), shëndetshëm 6) Të"
shih,fuqishëm (i) E
balancë,shih peshore: shih: baraspeshë
balancim,shih baraspeshim ' td ka
balancoj,shih baraspeshoj': SA
balast,shih zhavorr: fig shih kokëçarje pu
"larush,","larushan, larmë (1), Jarushtë:(1), lara-"
"Çubardh,","balo, Shran Sea tt"
balç,"shih lule balsami: der, Ga t"
baldosë,"dosëbalë, vjedulles shih dosëz Sa"
-balerin,shih kërcimtar EN dë SO
balestër,arbaletë: djepi E Dajës
balë,fig shih njollë: shih shenjë: shih pyll: B
balkrocë,trëndafil breshkes' e etë
baltë,"(i, e) ledhtë Gi)"
baltos,Shih përbalt: baltosem shih përbaltem:
ballaballas,shih: PrDaëis
ballaballë,shih përballë he
ballafaqas,shih përballë: shih haptass si
ballafaqe:,shih përballë: Shih haptas
ballafaqoj,"krahasoj: përqas, syzojin"
balër,"(i, e) fig: shih njollosent Gr sër tjet TI B"
balonë,"katana, Flburushë: shik tuli umbëcej"
shih,aerostat
balos,shih turpëroj: balosem shih urpërohem 1
baloshari,shih balash: t ata
balsam,"melhem, fig shih ngushëllim"
balsamoj,fig shihn gushëlloj:
baltak,shik batak
baltak,shih baltosur (1)
baltar,shih baltëpunues
baltavec,shi Squllët (0 sie ngathët 0): shi
baltemë,"(i, e) shih squllët G: shih pashije Go"
baltet,shih squllët: -
baltë,"llucë, lym, lyshtër, Jedh, Jerë, Jëtyrë,"
"llubatë,","llapërçinë, lloç, ilome,: llomështi,"
"llurbë,","lurbëtirë,: muzgë, humbë, 'kridhës"
"qyl,","skllop, tinë: Dë 18 S fundërrinë Sh"
baltëgore,"magrip, pl, shami e Ki"
baltëpunues,baltar e
baltinë,shih batak
baltishtë,shih batak Në
paltore,shih batak: shihe QYP: shih shtaimbë:
shih,poçeris shih squllët 6)::
baltosur,"(i,e) baltak, përbaltur Q edigisi kyt shti"
baltovinë,shih bataki:: S
bpaltur,"(i, e) shik squllët 6): shihi Pashijë Gj"
balun,shik thes (leshi) 8
balushë,shih bajgë::
balla,shih gjysma: e i
përqasje,ush
"kundërvënie,",luftë st të sy
shih,kundërvër shih puthis: oj ndërsa
"krahasohem,","përqasem,' Syzohem, ndër:"
